target,text
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,"Probably not, still going over some stuff here"
ham,Thought we could go out for dinner. I'll treat you! Seem ok?
ham,I'm at home. Please call
ham,Arun can u transfr me d amt
ham,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
ham,Dude got a haircut. Now its breezy up there
ham,Don no da:)whats you plan?
ham,Are you plans with your family set in stone ?
ham,Ew are you one of them?
ham,Your pussy is perfect!
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,I like to think there's always the possibility of being in a pub later.
ham,* Am on my way
ham,Tell them the drug dealer's getting impatient
ham,Just curious because my cuz asked what I was up to
ham,You're right I have now that I think about it
ham,Do we have any spare power supplies
ham,Alright took the morphine. Back in yo.
ham,Okie
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
ham,"Sure, I'll see if I can come by in a bit"
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
ham,"Sorry my roommates took forever, it ok if I come by now?"
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
ham,Yeah my usual guy's out of town but there're definitely people around I know
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
ham,Doing project w frens lor. 
ham,I got your back! Do you have any dislikes in bed?
ham,"I didnt get ur full msg..sometext is missing, send it again"
ham,Yeah imma come over cause jay wants to do some drugs
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... "
ham,"&lt;#&gt; , that's all? Guess that's easy enough"
ham,Love you aathi..love u lot..
ham,Then we gotta do it after that
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,Otherwise had part time job na-tuition..
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,How much would it cost to hire a hitman
ham,Your dad is back in ph?
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,Wat r u doing?
ham,Ugh my leg hurts. Musta overdid it on mon.
ham,Yup having my lunch buffet now.. U eat already?
ham,"Miss ya, need ya, want ya, love ya."
ham,I am taking you for italian food. How about a pretty dress with no panties? :)
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
ham,Ok then i'll let him noe later n ask him call u tmr...
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
ham,Ok both our days. So what are you making for dinner tonite? Am I invited?
ham,Boo what time u get out? U were supposed to take me shopping today. :(
spam,You have 1 new voicemail. Please call 08719181503
ham,What happen dear tell me
ham,Wat time u finish ur lect today?
ham,I not busy juz dun wan 2 go so early.. Hee.. 
ham,Ok i'm coming home now.
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
ham,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*"""
ham,Great! How is the office today?
ham,Long after I quit. I get on only like 5 minutes a day as it is.
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,The battery is for mr adewale my uncle. Aka Egbon
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?"
ham,"I shall book chez jules for half eight, if that's ok with you?"
ham,I'm ok. Will do my part tomorrow
ham,Just do what ever is easier for you
ham,Yes.mum lookin strong:)
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
ham,Fffff. Can you text kadeem or are you too far gone
ham,Are you free now?can i call now?
ham,"She was supposed to be but couldn't make it, she's still in town though"
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,LOL what happens in Vegas stays in vegas
ham,But pls dont play in others life.
